DATE:,2022-04-29,Банк,USD, ,EUR,  ,100 RUB,   
 , , InSync by Alfa-Bank,"2,6060","2,6390","2,7610","2,7890","2,9000","3,7500"
 , , онлайн-обменник,"2,6100","2,6400","2,7500","2,7900","2,9000","3,6700"
 , ,imbanking,"2,6102","2,6348","2,7602","2,7848","2,9000","3,7400"
 , ,Белагропромбанк,"2,6300","2,6600","2,7600","2,8100","2,9000","3,7500"
 , ,МТБанк,"2,6250","2,6500","2,7650","2,8050","2,9000","3,6800"
 , ,БПС-Сбербанк,"2,6200","2,6600","2,7500","2,8100","2,9000","3,7000"
 , ,БСБ Банк,"2,6150","2,6350","2,7600","2,8100","2,9000","3,7250"
 , ,РРБ-Банк,"2,6100","2,6500","2,7500","2,8200","2,9000","3,7200"
 , ,Дабрабыт,"2,6100","2,6600","2,7550","2,8200","2,9000","3,7700"
 , ,Технобанк,"2,6100","2,6400","2,7600","2,8000","2,9000","3,7500"
 , ,Приорбанк,"2,6100","2,6550","2,7500","2,7950","2,9000","3,7000"
 , ,Белгазпромбанк,"2,6100","2,6450","2,7500","2,8050","2,9000","3,7500"
 , ,Альфа-Банк,"2,6050","2,6390","2,7600","2,7890","2,9000","3,7500"
 , ,БНБ-Банк,"2,6020","2,6350","2,7520","2,7950","2,9000","3,7000"
 , ,Паритетбанк,"2,6010","2,6370","2,7460","2,7880","2,9000","3,7500"
 , ,ТК Банк,"2,6000","2,7500","2,7500","2,9000","2,8000","3,6800"
 , ,Беларусбанк,"2,6000","2,6600","2,7200","2,8000","2,9000","3,7000"
 , ,Статусбанк,"2,6000","2,6500","2,7500","2,8000","2,9000","3,7000"
 , ,Белинвестбанк,"2,6000","2,6600","2,7300","2,7900","2,9000","3,7200"
 , ,Решение,"2,6000","2,6350","2,7000","2,8000","2,9000","3,7000"
 , ,БелВЭБ,"2,5600","2,6400","2,7500","2,8300","2,9000","3,7000"
